Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;;;;
Acetaminophen;D000082;103-90-2;Headache;MESH:D006261;marker/mechanism;CSF3|IFNA2|IL6|OXT;75.64;6;;;;;;;;;;;;;;
sodium arsenite;C017947;13768-07-5;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|BDKRB1|BDKRB2|CACNA2D1|CNR1|COMT|CSF2|CSF3|DISC1|DRD2|EDN1|GCH1|GRIN1|HGF|HRH1|HTR1A|HTR7|IL1RN|IL2|KNG1|NPPB|NPR1|NRG1|OXT|PDYN|PNOC|SLC9A1|TAC1|TNF|TRH|TRPV1;67.48;47;;;;;;;;;;;;;;
Vehicle Emissions;D001335;;Headache;MESH:D006261;marker/mechanism;CSF3|IL6|OXT;48.96;5;;;;;;;;;;;;;;
Ethinyl Estradiol;D004997;57-63-6;Headache;MESH:D006261;marker/mechanism;IL6|OXT;47.05;12;;;;;;;;;;;;;;
Particulate Matter;D052638;;Headache;MESH:D006261;marker/mechanism;CSF3|GNRH1|IL6|OXT;44.51;6;;;;;;;;;;;;;;
Air Pollutants;D000393;;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;43.85;3;;;;;;;;;;;;;;
bisphenol A;C006780;80-05-7;Angina Pectoris;MESH:D000787;marker/mechanism;AVP|PLAU;43.48;4;;;;;;;;;;;;;;
Tretinoin;D014212;302-79-4;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;40.85;16;;;;;;;;;;;;;;
Ethinyl Estradiol;D004997;57-63-6;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|BDKRB2|CNR1|COMT|CSF2|DISC1|DRD2|EDN1|GCH1|GRIN1|HCRT|HGF|HTR1A|IL1RN|IL2|KNG1|NPPB|NTSR1|OXT|PENK|PLCB1|PNOC|POMC|SLC9A1|TNF|TRPA1|TRPV1;36.85;43;;;;;;;;;;;;;;
Dexamethasone;D003907;50-02-2;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;36.03;6;;;;;;;;;;;;;;
Gentamicins;D005839;;Headache;MESH:D006261;marker/mechanism;CSF3|GNRH1|IL6;34.96;4;;;;;;;;;;;;;;
Cyclosporine;D016572;59865-13-3;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|CACNA2D1|COMT|CSF2|DRD2|EDN1|GCH1|GRIN1|HGF|HOXD1|HRH1|IL1RN|IL2|KNG1|NPPA|NPPB|NPR1|NRG1|NTSR1|PLCB1|SLC9A1|TAC1|TNF|TRPV1|VIP;33.51;40;;;;;;;;;;;;;;
Trichloroethylene;D014241;79-01-6;Headache;MESH:D006261;marker/mechanism;CSF3|GNRH1|IL6|OXT;29.39;5;;;;;;;;;;;;;;
Cisplatin;D002945;15663-27-1;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|BDKRB1|BDKRB2|CACNA2D1|CNR1|COMT|CSF2|CSF3|EDN1|GCH1|HGF|HRH1|IL1RN|IL2|KNG1|NPPB|NPR1|PDYN|PLCB1|POMC|TAC1|TNF|TRPA1|TRPV1|VIP;29.29;43;;;;;;;;;;;;;;
Cyclosporine;D016572;59865-13-3;Headache;MESH:D006261;marker/mechanism;IL6;28.64;6;;;;;;;;;;;;;;
Particulate Matter;D052638;;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|BDKRB1|COMT|CRH|CSF2|CSF3|DISC1|DRD2|EDN1|GCH1|GRIN1|HCRT|HGF|HRH1|HTR7|IL1RN|IL2|NPPA|NPPB|NRG1|OXT|PENK|PLCB1|POMC|SLC9A1|TNF|TRH|TRPA1|TRPV1|VIP;28.08;42;;;;;;;;;;;;;;
Doxorubicin;D004317;23214-92-8;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|AKT1|ALB|AQP1|AVP|BDKRB1|BDKRB2|CNR1|CSF2|CSF3|DISC1|EDN1|HGF|HRH1|IL1RN|IL2|KNG1|NPPA|NPPB|NRG1|PDYN|PLCB1|SLC9A1|TAC1|TNF|TRH|TRPV1|VIP;26.31;42;;;;;;;;;;;;;;
Lactic Acid;D019344;50-21-5;Pain;MESH:D010146;marker/mechanism;ADM|DISC1|PDYN|SLC9A1|TNF;20.86;8;;;;;;;;;;;;;;
Calcium;D002118;7440-70-2;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|AVP|BDKRB1|BDKRB2|CACNA2D1|CNR1|DRD2|EDN1|HGF|HRH1|HTR1A|HTR7|KNG1|NPR1|OXT|PNOC|POMC|PROKR1|SLC9A1|TAC1|TNF|TRPA1|TRPV1|VIP;20.72;39;;;;;;;;;;;;;;
Methamphetamine;D008694;537-46-2;Headache;MESH:D006261;marker/mechanism;GNRH1|IL6|OXT;19.44;5;;;;;;;;;;;;;;
Oxygen;D010100;7782-44-7;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;18.00;3;;;;;;;;;;;;;;
Dinoprostone;D015232;363-24-6;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|AQP1|AVP|CSF2|EDN1|HCRT|HGF|IL1RN|IL2|KNG1|NPPA|NPPB|NRG1|OXT|TAC1|TNF;17.50;29;;;;;;;;;;;;;;
Formaldehyde;D005557;50-00-0;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;16.42;4;;;;;;;;;;;;;;
Norepinephrine;D009638;51-41-2;Pain;MESH:D010146;marker/mechanism;AKT1|AVP|BDKRB2|CNR1|COMT|CRH|DRD2|EDN1|NPPA|NPPB|OPRK1|PDYN|PLCB1|POMC|TNF;16.24;21;;;;;;;;;;;;;;
Streptozocin;D013311;18883-66-4;Neuralgia;MESH:D009437;marker/mechanism;AGER|CXCR4|GRM5|HMGB1|HTR2C|IL12B|MIR135A-2|MIR135B|MIR344F|NTRK1|PRKG1|TAC1|TNF;15.32;10;;;;;;;;;;;;;;
Zymosan;D015054;9010-72-4;Pain;MESH:D010146;marker/mechanism;BDKRB1|CSF2|IL1RN|IL2|NPPA|OPRK1|PDYN|PENK|POMC|TAC1|TNF|TRPV1;15.12;21;;;;;;;;;;;;;;
Nitric Oxide;D009569;10102-43-9;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|AVP|BDKRB2|CNR1|CRH|CSF2|EDN1|HCRT|HRH1|KNG1|NPPA|NPPB|OXT|PNOC|POMC|TAC1|TNF;14.61;30;;;;;;;;;;;;;;
Ivermectin;D007559;70288-86-7;Headache;MESH:D006261;marker/mechanism;IL6;13.70;2;;;;;;;;;;;;;;
Adenosine Triphosphate;D000255;56-65-5;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|ALB|AVP|BDKRB2|COMT|CSF2|KNG1|NPR1|OXT|TAC1|TNF|TRPV1;12.01;25;;;;;;;;;;;;;;
Caffeine;D002110;58-08-2;Headache;MESH:D006261;marker/mechanism;IL6;11.94;8;;;;;;;;;;;;;;
Methotrexate;D008727;59-05-2;Headache;MESH:D006261;marker/mechanism;CSF3|IL6;11.94;16;;;;;;;;;;;;;;
Testosterone;D013739;58-22-0;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|AVP|BDKRB1|CACNA2D1|COMT|CRH|CSF2|EDN1|GCH1|GRIN1|HGF|IL1RN|KNG1|NPR1|NTSR1|PENK|PLCB1|POMC|TNF;11.69;32;;;;;;;;;;;;;;
Doxorubicin;D004317;23214-92-8;Angina Pectoris;MESH:D000787;marker/mechanism;AVP|PLAU;11.37;4;;;;;;;;;;;;;;
Acetylcholine;D000109;51-84-3;Pain;MESH:D010146;marker/mechanism;ALB|CRH|CSF2|EDN1|GCH1|IL1RN|PENK|POMC|TAC1|TNF|TRH|TRPV1;10.67;21;;;;;;;;;;;;;;
Sodium Chloride;D012965;;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|AVP|EDN1|NPPA|POMC|SLC9A1|TNF|TRPA1|TRPV1;10.32;18;;;;;;;;;;;;;;
Vehicle Emissions;D001335;;Chest Pain;MESH:D002637;marker/mechanism;CRH;10.13;2;;;;;;;;;;;;;;
Temozolomide;D000077204;85622-93-1;Headache;MESH:D006261;marker/mechanism;IL6;10.13;2;;;;;;;;;;;;;;
Freund's Adjuvant;D005620;9007-81-2;Pain;MESH:D010146;marker/mechanism;BDKRB2|CSF2|HGF|HTR7|IL2|KNG1|PDYN|PROKR1|TAC1|TNF|TRPV1|VIP;10.12;33;;;;;;;;;;;;;;
Lead;D007854;7439-92-1;Headache;MESH:D006261;marker/mechanism;IL6;9.77;2;;;;;;;;;;;;;;
Air Pollutants;D000393;;Chest Pain;MESH:D002637;marker/mechanism;CRH;9.75;2;;;;;;;;;;;;;;
allyl isothiocyanate;C004471;57-06-7;Pain;MESH:D010146;marker/mechanism;AKT1|BDKRB2|TAC1|TNF|TRPA1|TRPV1;9.72;12;;;;;;;;;;;;;;
Particulate Matter;D052638;;Chest Pain;MESH:D002637;marker/mechanism;CRH;9.61;2;;;;;;;;;;;;;;
Xylenes;D014992;;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|DISC1|GRIN1|TAC1|TNF|TRPV1;9.58;14;;;;;;;;;;;;;;
Cisplatin;D002945;15663-27-1;Angina Pectoris;MESH:D000787;marker/mechanism;PLAU;9.56;6;;;;;;;;;;;;;;
Ceruletide;D002108;;Pain;MESH:D010146;marker/mechanism;AKT1|ALB|BDKRB1|BDKRB2|HGF|TNF;9.22;7;;;;;;;;;;;;;;
Ozone;D010126;10028-15-6;Angina Pectoris;MESH:D000787;marker/mechanism;PLAU;9.16;2;;;;;;;;;;;;;;
Corn Oil;D003314;8001-30-7;Neuralgia;MESH:D009437;marker/mechanism;CYP17A1|GAL|IL12B|TAC1;8.90;4;;;;;;;;;;;;;;
Sodium;D012964;7440-23-5;Neuralgia, Postherpetic;MESH:D051474;marker/mechanism;SCN8A|SCN9A;8.66;1;;;;;;;;;;;;;;
mustard oil;C027793;8007-40-7;Pain;MESH:D010146;marker/mechanism;PROKR1|TRPA1|TRPV1;8.60;11;;;;;;;;;;;;;;
Tetradecanoylphorbol Acetate;D013755;16561-29-8;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|AVP|BDKRB1|BDKRB2|CACNA2D1|COMT|CSF2|CSF3|EDN1|GCH1|HGF|HOXD1|HRH1|HTR7|IL1RN|IL2|NPPA|NRG1|OXT|PNOC|TAC1|TNF|TRH|TRPA1|TRPV1;8.27;36;;;;;;;;;;;;;;
Oxaliplatin;D000077150;;Headache;MESH:D006261;marker/mechanism;IL6;8.13;2;;;;;;;;;;;;;;
Clofibrate;D002994;637-07-0;Pain;MESH:D010146;marker/mechanism;ABCB1A|ADM|ALB|AQP1|EDN1|GCH1|HTR1A|IL1RN|KNG1|NPPA|OXT|PLCB1|POMC|TNF;7.99;27;;;;;;;;;;;;;;
makatoxin I;C105338;;Pain;MESH:D010146;marker/mechanism;NPPB|NPR1;7.75;1;;;;;;;;;;;;;;
Cocaine;D003042;50-36-2;Headache;MESH:D006261;marker/mechanism;GNRH1|IL6;7.60;7;;;;;;;;;;;;;;
Olanzapine;D000077152;;Pain;MESH:D010146;marker/mechanism;ABCB1A|AKT1|ALB|COMT|DRD2|HRH1|KNG1|POMC|TNF|TRPV1;7.49;24;;;;;;;;;;;;;;
Arsenic Trioxide;D000077237;1327-53-3;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|AQP1|CACNA2D1|CRH|CSF2|CSF3|EDN1|GRIN1|HGF|IFNA2|IL1RN|IL2|NRG1|NTSR1|PLCB1|SLC9A1|TNF;7.45;23;;;;;;;;;;;;;;
Nitrogen Dioxide;D009585;10102-44-0;Pain;MESH:D010146;marker/mechanism;ALB|AQP1|CACNA2D1|CSF2|DRD2|EDN1|TAC1|TNF;7.35;12;;;;;;;;;;;;;;
Diethylstilbestrol;D004054;56-53-1;Headache;MESH:D006261;marker/mechanism;GNRH1|IL6|OXT;7.31;5;;;;;;;;;;;;;;
Cyclosporine;D016572;59865-13-3;Arthralgia;MESH:D018771;marker/mechanism;MVK;7.22;2;;;;;;;;;;;;;;
Sunitinib;D000077210;;Angina Pectoris;MESH:D000787;marker/mechanism;PLAU;7.18;2;;;;;;;;;;;;;;
Cisplatin;D002945;15663-27-1;Arthralgia;MESH:D018771;marker/mechanism;CSF3|MVK;7.16;3;;;;;;;;;;;;;;
Digoxin;D004077;20830-75-5;Pain;MESH:D010146;marker/mechanism;ABCB1A|ALB|IL2|NPPA|NPPB|SLC9A1|TNF;7.02;9;;;;;;;;;;;;;;
Potassium Chloride;D011189;7447-40-7;Pain;MESH:D010146;marker/mechanism;AQP1|CACNA2D1|CNR1|EDN1|KNG1|PENK|TAC1|TNF;6.98;16;;;;;;;;;;;;;;
Fluorouracil;D005472;51-21-8;Headache;MESH:D006261;marker/mechanism;IFNA2|IL6;6.86;3;;;;;;;;;;;;;;
Indomethacin;D007213;53-86-1;Angina Pectoris;MESH:D000787;marker/mechanism;AVP|PLAU;6.83;4;;;;;;;;;;;;;;
Paclitaxel;D017239;;Neuralgia;MESH:D009437;marker/mechanism;CACNA2D1|CXCR4|GFRA1|HMGB1|IL12B|TAC1|TNF;6.80;23;;;;;;;;;;;;;;
Formaldehyde;D005557;50-00-0;Pain;MESH:D010146;marker/mechanism;ADM|AKT1|ALB|BDKRB2|CRH|CSF2|CSF3|DRD2|EDN1|GCH1|IL2|KNG1|NPPB|PENK|PLCB1|PNOC|POMC|SLC9A1|TAC1|TNF|TRPA1|TRPV1;6.80;93;;;;;;;;;;;;;;
