Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;
Oxygen;D010100;7782-44-7;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|ADORA2A|AFF3|AGER|AHR|ALOX5|ANXA3|ATIC|BDKRB2|BGN|BLK|BMP4|BMP6|CALD1|CAT|CAV2|CCL21|CCN1|CCN2|CCR6|CD2|CD28|CD5|CD83|CDK6|COL2A1|CP|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DNASE1L3|ENO1|FASLG|FKBP5|GPRC5A|HAPLN1|HDAC1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL6|IL6ST|IRAK1|LCN2|LY96|MGARP|MIF|MMP10|MMP12|MMP2|MPO|NCF1|NCF2|NDUFA4L2|NFKBIE|NR4A3|PADI4|PON1|PRDM1|PTGS1|PTGS2|PTPN2|PTPRC|RASGRP1|RBPJ|RCAN1|REL|RUNX1|RUNX2|SNHG14|SOD2|STAT1|TFPI2|TLR2|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;107.24;45;;;;;;;;;;;
Freund's Adjuvant;D005620;9007-81-2;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ANXA3|BDKRB2|BMP4|CAT|CCN1|CCN2|COL2A1|CP|CRP|CSF2|CTSD|CXCL2|CYBB|FASLG|FOXP3|HCLS1|HDAC1|IFNG|IL10|IL18|IL1B|IL23A|IL2RB|IL6|LCN2|MPO|PTGS1|PTGS2|REL|RUNX1|TNF|TNFRSF11B|TNFRSF14|VEGFA;88.54;29;;;;;;;;;;;
Tobacco Smoke Pollution;D014028;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|AFF3|AGER|AHR|ALOX5|ANXA3|ARID5B|ATIC|B3GNT2|BAIAP2L1|BCL2A1|BDKRB2|BGN|BMP4|BMP6|CALD1|CAT|CCL8|CCN1|CCN2|CCR6|CD2|CD3E|CD40|CD5|CD83|CDK6|CIITA|COL2A1|CP|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|FCGR2A|FKBP5|GART|GATA3|GC|GGH|GPRC5A|GRK2|GRK6|GSDME|HCLS1|HLA-DQA2|HLA-DRB1|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RB|IL6|IL6R|IL6ST|IRAK1|IRF5|IRF8|ITGA6|KIF5A|LCN2|LHX2|LY96|MARCKS|MIF|MMEL1|MMP10|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIE|NR4A3|PADI4|PLB1|PLEK|PON1|POU3F1|PRDM1|PRKCQ|PTGS1|PTGS2|PTPN2|RAB8A|RAP2A|RASGRP1|RCAN1|REL|RUNX2|SLC11A1|SLC22A4|SLC25A12|SMS|SOD2|SPRED2|ST6GALNAC5|STAT1|STAT4|STS|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;84.02;50;;;;;;;;;;;
Air Pollutants;D000393;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC2|ABCC3|ABCC4|ABCG2|ACKR3|ADIPOQ|AFF3|AGER|AHR|ALOX5|ANXA3|ARID5B|BDKRB2|BGN|BLK|BMP4|BMP6|CALD1|CAT|CCL8|CCN1|CCR6|CD2|CD244|CD28|CD3E|CD83|CDK6|CIITA|CP|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|FCGR2A|FKBP5|FOXP3|FPGS|GART|GATA3|GGH|GPRC5A|GRK2|GRK6|GSDME|HAPLN1|HCLS1|HDAC1|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RB|IL6|IRAK1|IRF5|IRF8|ITGA6|LCN2|MARCKS|MIF|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIL1|NR4A3|PADI4|PLD4|PLEK|PON1|PRDM1|PRKCQ|PTGS1|PTGS2|PTPN2|PTPN22|PTPRC|RASGRP1|REL|RUNX2|SLC11A1|SLC22A4|SOD2|SPRED2|STAT1|STAT4|STS|TAGAP|TFPI2|TLE3|TLR2|TNF|TNFAIP2|TNFAIP3|TNFRSF14|TNFSF14|TRAF1|TXNIP|TYK2|VEGFA;76.93;47;;;;;;;;;;;
Dinoprostone;D015232;363-24-6;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC4|CAT|CCN2|CCR6|COL2A1|CP|CSF2|CXCL8|CXCR4|F2|FASLG|HSD11B1|IFNG|IL10|IL1B|IL1RN|IL23A|IL2RA|IL6|MMP2|MPO|PTGS1|PTGS2|RUNX2|SOD2|TLR2|TNF|TNFRSF11B|VEGFA;68.89;27;;;;;;;;;;;
deoxynivalenol;C007262;51481-10-8;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCC3|ABCC5|ACAN|ACKR3|ADIPOQ|AGER|ALOX5|ANKRD55|ARID5B|BAIAP2L1|BGN|CAT|CAV2|CCL21|CCN1|CCN2|CCR6|CD40|CD83|CIITA|COL2A1|CP|CRP|CTSD|CXCL2|CXCL8|CXCR4|DDIT4|ENO1|F2|FOXP3|GC|GDF5|GSDME|HAPLN1|HDAC1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RB|IL6|IRAK1|ITGA6|LCN2|LY96|MARCKS|MMP12|MMP2|MPO|MTHFR|NCF2|NR4A3|PTGS1|PTGS2|PTPN2|PTPN22|RASGRP1|RBPJ|RCAN1|REL|RUNX2|SOD2|STAT1|STAT4|TLR2|TMPO|TNF|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;68.57;42;;;;;;;;;;;
ochratoxin A;C025589;303-47-9;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC2|ABCG2|ADORA2A|AHR|ALOX5|ANXA3|B3GNT2|BCL2A1|BMP4|CAT|CCN1|CCN2|COL2A1|CP|CXCL8|CXCR4|CYBB|DDIT4|DNASE1L3|ENO1|F2|FASLG|FKBP5|GC|HDAC1|IFNG|IL10|IL18|IL1B|IL6|LCN2|MARCKS|MIF|MMP2|PON1|PTGS2|PTK2|RASGRP1|RUNX1|RUNX2|SOD2|STAT1|STAT4|TNF|TNFAIP3|TRAF6|TXNIP|VEGFA;66.38;32;;;;;;;;;;;
Reactive Oxygen Species;D017382;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCC2|ABCC4|ADIPOQ|AGER|AHR|ALOX5|BCL2A1|CAT|CD28|CRP|CSF2|CXCL2|CYBB|F2|FASLG|IFNG|IL18|IL1B|IL6|MMP2|NCF1|NCF2|PON1|PTGS1|PTGS2|PTK2|SOD2|TLR2|TNF|TXNIP|VEGFA;63.12;26;;;;;;;;;;;
Cadmium;D002104;7440-43-9;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCG2|ACKR3|ADIPOQ|ADORA2A|AHR|ANXA3|ARID5B|BGN|BMP4|BMP6|CAT|CAV2|CCN2|CDK6|COL2A1|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|CYBB|ENO1|F2|FASLG|FCGR2A|FKBP5|GART|GC|GSDME|HOXD10|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6ST|IRAK1|ITGA6|LCN2|LY96|MIF|MMP10|MMP2|MPO|NCF1|NDUFA4L2|PON1|PSG5|PTGS1|PTGS2|PTK2|PTPRC|PXK|RAP2A|RASGRP1|RCAN1|RUNX1|RUNX2|SLC22A4|SOD2|SPRED2|STAT1|TLE3|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TRAF6|TXNDC5|TXNIP|VEGFA;51.81;40;;;;;;;;;;;
Glyphosate;D000097797;;Arthritis, Rheumatoid;MESH:D001172;marker/mechanism;ABCB1|ABCC2|ABCC5|ABCG2|ACAN|AHR|ARID5B|B3GNT2|BCL2A1|BMP4|CAT|CCL21|CCN1|CD40|CDK6|CTSD|CXCL8|CXCR4|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|FKBP5|GC|GIN1|GRK6|HDAC1|IFNG|IL10|IL18|IL1B|IL6|IL6R|LHX2|MIF|NCF1|PLEK|PTGS1|PTGS2|RASGRP1|RBPJ|SOD2|ST6GALNAC5|STAT1|TFPI2|TNF|TNFAIP2|TNFRSF11B|TRAF6|VEGFA;45.45;34;;;;;;;;;;;
